URL,noun,noun_rough_eng,sense1,machine_translation1,sense2,machine_translation2,sense3,machine_translation3,sense4,machine_translation4,sense5,machine_translation5,sense6,machine_translation6,sense7,machine_translation7,sense8,machine_translation8,sense9,machine_translation9,sense10,machine_translation10,sense11,machine_translation11
,159,,159,,94,,46,,26,,16,,12,,6,,4,,,,,,,
https://el-sozduk.kg/osumduk-7/,өсүмдүк,plant,Абанын жана жер кыртышынын органикалык эмес заттары менен азыктанып органикалык заттарды пайда кылуучу жана кандайдыр бир орунда өсүүчү организм.,An organism that grows in any location and produces organic matter by feeding on inorganic substances in the air and soil.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://el-sozduk.kg/onuguu-7/,өнүгүү,to develop,бир нерсенин бара-бара башка (өзгөчө өнүккөн же жетилген) баскычка өтүү процесси,the process of something gradually moving to another (especially advanced or mature) stage,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://el-sozduk.kg/olum-12/,өлүм,death,"Ажал; өмүрдүн, жашоонун бүтүшү. ","Death; the end of life, the end of existence.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эстелик,эстелик,monument,"Көрүнүктүү адамдарга курулган скульптуралык же архитектуралык имарат, сүрөт ж. б.","A sculptural or architectural building, painting, etc. dedicated to prominent people.","Өткөндөгү материалдык маданияттын, эски жазуулардын, чыгармалардын ж. б. сакталып келаткан үлгүлөрү, калдыктары.","Preserved examples and remains of past material culture, ancient writings, works, etc.","Эстөө, эсте сактоо, унутпай ойго алып жүрүү үчүн сактала турган ар кандай нерселер, окуялар, эскерме.","Various things, events, and memories that are kept in order to remember, to keep in mind, and to carry in mind without forgetting.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эсте,эсте,remember,"Мурда оюнда болгон, көргөн-билген, сезимде бар нерселерди, окуяларды ж. б. ойго келтирүү, эске салуу, эске түшүрүү.","To recall, to remind, to recall things, events, etc. that were previously in one's mind, seen, known, felt.","Уйкусу чала болгондо, уйкусураганда, чарчаганда, талыкшыганда ж. б. эрксизден оозду кең ачып, терең дем алуу.","When you are sleep deprived, drowsy, tired, stressed, etc., you involuntarily open your mouth wide and take a deep breath.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эсеп,эсеп,account,"Ар кандай нерселердин саналып, саны такталып чыгарылган жалпы жыйынтыгы, канча экендигин көрсөткөн жалпы саны.","The total number of various things that have been counted and quantified, the total result, indicating how many there are.",Арифметика.,Arithmetic.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эс,эс,memory,"Акыл, аң-сезим.","Mind, consciousness.","Ойдо сактоо, унутпоо жөндөмдүүлүгү.","The ability to remember, not to forget.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эркиндик,эркиндик,freedom,"Боштондук, көз каранды эместик, эркин, тең укуктуулук.","Freedom, independence, liberty, equality.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эркек,эркек,man,"Адамдын, айбандын, жаныбардын ж. б. эр жыныстуусу.","The masculine gender of a person, animal, etc.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
